time,upload,download
383,0.117773,0.0824219
384,0.425586,0.318555
385,0.425586,0.318555
386,1.35117,3.21055
387,1.98906,4.14746
388,2.27441,4.38809
389,2.3957,4.48086
390,2.65039,4.72715
391,2.65039,4.72715
392,2.65039,4.72715
393,0.922461,0.826563
394,0.796484,0.721289
395,0.796484,0.721289
396,0.796484,0.721289
397,0.796484,0.721289
398,0.4625,0.274219
399,0.4625,0.274219
400,0.4625,0.274219
401,0.4625,0.274219
402,0.475391,0.287109
403,0.475391,0.287109
404,0.0462891,0.0462891
405,0.0462891,0.0462891
406,0.0462891,0.0462891
407,0.0462891,0.0462891
408,0.0462891,0.0462891
409,0.942383,0.552344
410,1.21719,0.807227
411,1.21719,0.807227
412,1.21719,0.807227
413,1.45625,1.03672
414,1.45625,1.03672
415,0.251953,0.242383
416,0.251953,0.242383
417,0.251953,0.242383
418,0.0462891,0.0462891
419,0.496875,0.239844
420,0.496875,0.252734
421,0.496875,0.252734
422,0.496875,0.252734
423,0.496875,0.252734
424,0.496875,0.252734
425,1.36152,0.955859
426,1.36152,0.955859
427,1.36152,0.955859
428,1.36152,0.955859
429,1.36152,0.955859
430,0.0333984,0.0333984
431,0.0333984,0.0333984
432,0.456055,0.264648
433,0.456055,0.264648
434,0.456055,0.264648
435,0.435547,0.244141
436,0.435547,0.244141
437,0.0925781,0.264648
438,0.0796875,0.0796875
439,0.0796875,0.0796875
440,0.0796875,0.0796875
441,0.698438,0.0462891
442,1.12129,1.40273
443,1.78223,2.19297
444,1.78223,2.19297
445,2.0209,2.43301
446,2.0209,2.43301
447,2.36309,8.7373
448,2.39746,16.7988
449,2.90254,20.6078
450,2.90254,20.6078
451,2.90254,20.6078
452,2.90254,20.6078
453,0.558203,0.31875
454,0.591602,0.352148
455,0.604492,0.365039
456,0.604492,0.365039
457,0.604492,0.365039
458,0.1875,0.0607422
459,0.480273,0.921289
460,0.513672,0.941797
461,0.513672,0.941797
462,0.739844,1.17656
463,1.58926,2.10957
464,1.19551,1.26035
465,1.37559,1.46172
466,1.45996,1.51074
467,1.45996,1.51074
468,0.33418,0.337695
469,0.33418,0.337695
470,0.33418,0.337695
471,0.0697266,0.100195
472,0.0697266,0.100195
473,0.517187,0.304688
474,0.517187,0.304688
475,0.517187,0.304688
476,0.517187,0.304688
477,0.517187,0.304688
478,0.0333984,0.0333984
479,0.0333984,0.0333984
480,0.0333984,0.0333984
481,0.0333984,0.0333984
482,0.478516,0.305859
483,1.18203,0.77793
484,1.18203,0.77793
485,1.39473,1.0166
486,1.39473,1.0166
487,0.9625,0.757031
