time,ping
952,68.2
953,87.9
954,114
955,68.6
956,82.8
957,84.9
958,121
959,165
960,89.3
961,98.1
962,77.2
963,79.9
964,93.8
965,87
966,48
967,64.1
968,124
969,127
970,134
971,109
972,79.2
973,107
974,62.7
975,101
976,55
977,65.3
978,94.2
979,79.6
980,96
981,83
982,80.7
983,96.6
984,77.7
985,110
986,84.8
987,79.6
988,132
989,126
990,169
991,102
992,114
993,96
994,87.4
995,102
996,94
997,109
998,111
999,127
1000,74.3
1001,116
1002,104
1003,74.4
1004,100
1005,88.1
1006,59.1
1007,66.3
1008,61.2
1009,96.1
1010,95.8
1011,118
1012,101
1013,108
1014,107
1015,138
1016,76.8
1017,125
1018,54.7
1019,125
1020,108
1021,92.3
1022,113
1023,106
1024,117
1025,72.7
1026,99.2
1027,62.7
1028,221
1029,121
1030,72.6
1031,50.4
1032,54.2
1033,57.7
1034,40.2
1035,50
1036,87.3
1037,41.7
1038,84.6
1039,40
1040,60.3
1041,69.3
1042,77.8
1043,40.6
1044,54.1
1045,46.3
1046,52
1047,50.8
1048,44.6
1049,47.9
1050,46.8
1051,44.4
1052,73.7
1053,62.1
1054,51.4
1055,40.3
1056,68.4
1057,92.2
1058,55.3
1059,59.2
1060,44.8
1061,51.6
1062,81.3
1063,116
1064,103
1065,111
1066,109
1067,92
1068,339
1069,111
1070,43
1071,132
1072,115
1073,139
1074,182
1075,121
1076,95
1077,72.6
1078,97.6
1079,64.6
1080,52.5
1081,109
1082,91.5
1083,81.6
1084,125
1085,107
1086,110
1087,47.1
1088,413
1089,139
1090,89.8
1091,101
1092,107
1093,111
1094,105
1095,99.7
1096,86.3
1097,92.8
1098,136
1099,122
1100,53.3
1101,136
1102,71.5
1103,86.5
1104,93
1105,67.7
1106,142
1107,109
1108,112
1109,147
1110,118
1111,84.9
1112,84
1113,74.7
1114,125
1115,123
1116,95.3
1117,94.3
1118,74.9
1119,74.1
1120,63.2
1121,52.2
1122,77.9
1123,42.7
1124,57.4
1125,58.5
1126,65.3
1127,66.7
1128,63.3
1129,61.6
1130,50.7
1131,55.5
1132,68.4
1133,41.5
1134,58.8
1135,83.3
1136,76.9
1137,104
1138,703
1139,142
1140,81.4
1141,75.6
1142,94.4
1143,97.4
1144,80.4
1145,135
1146,126
1147,113
1148,95.1
1149,50
1150,45.1
1151,42.1
1152,114
1153,79.4
1154,69.8
1155,56.7
1156,64.3
1157,115
1158,57.4
1159,61.4
1160,54.1
1161,48.5
1162,66.9
1163,46.3
1164,64.4
1165,64.5
1166,79.2
1167,63.8
1168,42.5
1169,79.4
1170,68.1
1171,78.1
1172,110
1173,81.2
1174,56.4
1175,69.4
1176,77.4
1177,50.2
1178,722
1179,137
1180,89.4
1181,88
1182,115
1183,137
1184,62.7
1185,48.4
1186,54.7
1187,57.3
1188,72.9
1189,67.5
1190,125
1191,109
1192,122
1193,54.9
1194,59.1
1195,83.5
1196,58
1197,52.6
1198,60.8
1199,48.4
1200,106
1201,123
1202,61.9
1203,101
1204,58
1205,55.7
1206,43
1207,46.1
1208,42.6
1209,52.2
1210,60.6
1211,44.6
1212,83.7
1213,42.7
1214,133
1215,103
1216,144
1217,123
1218,43
1219,90.3
1220,115
1221,51.9
1222,55.5
1223,39.6
1224,95.3
1225,86.7
1226,69.2
1227,78
1228,126
1229,134
1230,102
1231,159
1232,110
1233,106
1234,102
1235,110
1236,82.5
1237,101
1238,117
1239,121
1240,126
1241,62.8
1242,93.1
1243,70.5
1244,65.1
1245,140
1246,59.8
1247,73.4
1248,48.5
1249,71.4
1250,42
1251,65.9
1252,57
1253,59.2
1254,45.8
1255,56.7
1256,57.9
1257,66.3
1258,71.7
1259,49.3
1260,66.8
1261,58.5
1262,146
1263,109
1264,92.7
1265,101
1266,97.1
1267,95.8
1268,94.9
1269,61.7
1270,48.3
1271,69.2
1272,111
1273,114
1274,166
1275,102
1276,110
1277,57.8
1278,111
1279,111
1280,66
1281,47.8
1282,41.1
1283,43.8
1284,62.9
1285,48.3
1286,72.4
1287,58.4
1288,41.5
1289,65.4
1290,69.8
1291,53.7
1292,47.1
1293,49.1
1294,62.6
1295,42.2
1296,52.8
1297,54.5
1298,66
1299,51.9
1300,50.8
1301,61.3
1302,60.8
1303,61.2
1304,60.7
1305,57.6
1306,46
1307,80
1308,61
1309,40.4
1310,62.3
1311,60.4
1312,40.3
1313,52.1
1314,48.7
1315,61.9
1316,54.1
1317,64.1
1318,63.5
1319,51.7
1320,49.6
1321,59.8
1322,68.7
1323,46.5
1324,63.4
1325,42.1
1326,40.3
1327,49.8
1328,66.8
1329,89.1
1330,55.3
1331,53.4
1332,56.7
1333,40.8
1334,44
1335,58.3
1336,42.4
1337,68.1
1338,108
1339,70.8
1340,117
1341,136
1342,89.9
1343,101
1344,113
1345,92.2
1346,97.2
1347,76.6
1348,107
1349,81.9
1350,266
1351,124
1352,135
1353,97.8
1354,88.2
1355,83.6
1356,78
1357,93.6
1358,112
1359,66.9
1360,109
1361,54.2
1362,51.6
1363,49.5
1364,48.6
1365,67.6
1366,55.9
1367,50.4
1368,63.2
1369,64.6
1370,69.6
1371,44
1372,67.6
1373,51.7
1374,61.6
1375,58.6
1376,72.9
1377,51.7
1378,90.8
1379,117
1380,123
1381,96.5
1382,91.1
1383,83
1384,78.5
1385,50.5
1386,57.3
1387,70.7
1388,64.2
1389,53.5
1390,52.5
1391,60.7
1392,63.3
1393,56.4
1394,60.6
1395,87.9
1396,44.2
1397,63.5
1398,66.7
1399,52.8
1400,79.1
1401,48.5
1402,77
1403,58.9
1404,66
1405,130
1406,53.5
1407,59.4
1408,91.5
1409,111
1410,133
1411,113
1412,86.2
1413,105
1414,80.4
1415,98.9
1416,74.1
1417,83.2
1418,66
1419,40.5
1420,42.7
1421,42.5
1422,53.2
1423,50.8
1424,60.4
1425,65.4
1426,58.7
1427,42
1428,46.3
1429,113
1430,104
1431,81.9
1432,70.9
1433,97.8
1434,91.9
1435,67
1436,83.2
1437,73.1
1438,48.8
1439,59.8
1440,94.6
1441,115
1442,115
1443,99.8
1444,131
1445,102
1446,77.5
1447,68
1448,114
1449,112
1450,85.6
1451,82.4
1452,85.3
1453,96.4
1454,95.3
1455,68.6
1456,67.5
1457,63.3
1458,63.9
1459,63.4
1460,47.8
1461,61.2
1462,51.1
1463,48.8
1464,49.2
1465,57.8
1466,55.4
1467,51.7
1468,55.1
1469,63
1470,52.2
1471,86.5
1472,73.9
1473,151
1474,61.4
1475,73.9
1476,84.5
1477,61.6
1478,49.9
1479,39.1
1480,54.8
1481,57.2
1482,56.4
1483,59.6
1484,53.2
1485,48.6
1486,52
1487,54.9
1488,44.8
1489,55.3
1490,52.4
1491,136
1492,46.1
1493,44.6
1494,75
